Bryna;Jaine;Chile;2008;26;II
Simonne;Oldacre;Thailand;1975;27;III
Celestyn;Torritti;Indonesia;2003;28;IV
Deborah;Stickley;Philippines;1994;29;IM
Cristionna;Friese;France;1977;30;NM
Venita;Fittis;Cuba;1992;31;I
Chickie;Hoggan;Madagascar;1989;47;IM
Therese;Rothchild;China;2012;48;NM
Isac;Elleton;China;1997;49;I
Ignacius;Tondeur;Russia;2009;6;NM
Christiana;Sanney;Sierra Leone;2004;7;I
Yuma;Perris;France;2001;8;II
Olwen;Parriss;France;2008;39;III
Lincoln;Garrique;China;2009;40;IV
Nolie;Ayers;Brazil;2002;41;IM
Ellissa;Hallede;China;2006;42;NM
Aguste;Bremeyer;China;1986;43;I
Yvonne;Boliver;Indonesia;2006;44;II
Stu;Gudgeon;Argentina;2000;45;III
Elvis;Schurcke;Finland;2002;46;IV
Emogene;Lathan;Indonesia;1998;9;III
Kareem;Stonard;China;2009;10;IV
Aurel;Vakhonin;Poland;1994;11;IM
Carol-jean;Lording;China;1987;12;NM
Flinn;Escolme;Poland;2009;13;I
Nelle;Ditchett;Portugal;2008;1;I
Caye;Letchmore;Ukraine;1996;2;II
Windham;Dalziell;Indonesia;2006;3;III
Tiffi;Zorener;Indonesia;1999;4;IV
Constantino;Kezourec;China;2004;5;IM
Isacco;Brookesbie;France;2000;14;II
Shandra;Ridett;Russia;1990;15;III
Payton;Apfelmann;Indonesia;1994;16;IV
Marybelle;Branthwaite;China;2007;17;IM
Banky;Newiss;Philippines;2000;18;NM
Terri;Claridge;Czech Republic;2002;19;I
Selina;Onion;Mexico;2001;20;II
Bert;Youhill;Portugal;1997;21;III
Violante;Klimashevich;Indonesia;2008;22;IV
Arliene;Sprankling;China;2009;32;II
Noel;Cornes;United Arab Emirates;1994;33;III
Winfred;Ranfield;Philippines;1964;34;IV
Merline;Colvie;Greece;2005;35;IM
Christian;Ovens;Malaysia;2012;36;NM
Forest;Elix;Sweden;1987;37;I
Jeremiah;Gerrietz;Peru;2011;38;II
Mireille;Adamczyk;Kyrgyzstan;2003;23;IM
Aundrea;Demonge;Brazil;2003;24;NM
Caryl;Tyer;Argentina;2008;25;I
Karla;Cotgrove;China;1993;50;II
