Agustin;Melior;Micronesia;1995;1;I
Nerta;Ughi;Poland;1999;2;II
Axe;Keddie;Wallis and Futuna;1993;3;I
Brand;Gilbeart;Mexico;1991;4;I
Osbourne;Frame;Thailand;1997;5;I
Timi;Attwater;China;1996;6;III
Burty;Tiddeman;China;2010;7;I
Allsun;Tureville;China;1964;8;IM
Tiffani;Guirard;Poland;1991;9;IM
Frants;McGeraghty;Brazil;2001;10;NM
Modesta;Sweetmore;Uganda;2008;11;III
Rem;Maharey;China;1999;12;NM
Hazlett;Crowther;Palestinian Territory;1993;13;NM
Casie;Stegell;Russia;1997;14;IM
Kippie;Rawet;United States;1984;15;I
Salomi;Dradey;Russia;1992;16;II
Mab;Scorey;Indonesia;1993;17;III
Buddie;Lehmann;Malaysia;2007;18;NM
Tommie;Popplewell;San Marino;1998;19;NM
Allianor;Sames;Bulgaria;2006;20;III
Bartel;Goreisr;Bulgaria;2012;21;IM
Corena;Pinxton;China;2012;22;IM
Wyatan;Cammell;China;1997;23;IM
Prisca;Stidston;Philippines;2010;24;III
Felice;Leakner;Indonesia;1994;25;I
Lem;Vogel;Portugal;2007;26;II
Evania;Yandle;China;2010;27;II
Yorgo;Desesquelle;China;1972;28;I
Byrom;Chichgar;Bulgaria;2010;29;I
Kaspar;Redholes;Nigeria;1996;30;III
Korry;Greystoke;Russia;1993;31;II
Alvira;Allan;China;2008;32;III
Menard;Clemenza;Brazil;2003;33;II
Glad;Kondratenko;Philippines;1988;34;I
Nari;Lecky;China;2006;35;I
Nathaniel;Wynn;Russia;1998;36;I
Gretta;Brame;China;2000;37;II
Rhodia;Sheaber;Malaysia;1994;38;IM
Cyndy;Klaas;Ethiopia;2003;39;IM
Terry;Liddiatt;Brazil;1996;40;IM
Thursto;Daggett;Russia;1995;41;IM
Martita;Easeman;Ukraine;1986;42;NM
Steffen;Durno;France;2011;43;NM
Christye;Vaughan;Maldives;1989;44;NM
Nelia;Hildrew;Philippines;2009;45;NM
Carmelita;Hostan;Indonesia;2004;46;NM
Findlay;Pickin;China;1985;47;IM
Eran;Pardi;China;1964;48;I
Filbert;Monkeman;Georgia;1994;49;II
Mercy;Burnel;Finland;1999;50;III
